date,fund,company,ticker,cusip,shares,"market value($)",weight(%)
3/15/2021,ARKF,"SQUARE INC - A",SQ,852234103,1828275.00,442643660.25,10.47
3/15/2021,ARKF,"PAYPAL HOLDINGS INC",PYPL,70450Y103,907905.00,227294016.75,5.38
3/15/2021,ARKF,"ZILLOW GROUP INC - C",Z,98954M200,1374799.00,207195957.29,4.90
3/15/2021,ARKF,"SILVERGATE CAPITAL CORP-CL A",SI,82837P408,1312926.00,181958414.34,4.30
3/15/2021,ARKF,"INTERCONTINENTAL EXCHANGE IN",ICE,45866F104,1437722.00,165798101.04,3.92
3/15/2021,ARKF,"SEA LTD-ADR",SE,81141R100,663871.00,156003046.29,3.69
3/15/2021,ARKF,"TENCENT HOLDINGS LTD-UNS ADR",TCEHY,88032Q109,1843493.00,152217217.01,3.60
3/15/2021,ARKF,"PINTEREST INC- CLASS A",PINS,72352L106,2069463.00,148483970.25,3.51
3/15/2021,ARKF,"SHOPIFY INC - CLASS A",SHOP,82509L107,127548.00,145485075.24,3.44
3/15/2021,ARKF,"ADYEN NV",ADYEN,BZ1HM42,56788.00,131437979.95,3.11
3/15/2021,ARKF,"MERCADOLIBRE INC",MELI,58733R102,77378.00,119947506.70,2.84
3/15/2021,ARKF,"SNAP INC - A",SNAP,83304A106,1849926.00,115971860.94,2.74
3/15/2021,ARKF,"YEAHKA LTD",9923,BL58D39,11459600.00,115440397.79,2.73
3/15/2021,ARKF,"OPENDOOR TECHNOLOGIES INC",OPEN,683712103,4254193.00,115075920.65,2.72
3/15/2021,ARKF,"ALIBABA GROUP HOLDING-SP ADR",BABA,01609W102,488137.00,113184326.19,2.68
3/15/2021,ARKF,"TWILIO INC - A",TWLO,90138F102,289624.00,106879944.72,2.53
3/15/2021,ARKF,"ZHONGAN ONLINE P&C INSURAN-H",6060,BYZQ099,15762345.00,103555365.98,2.45
3/15/2021,ARKF,"MEITUAN-CLASS B",3690,BGJW376,2255582.00,96757459.42,2.29
3/15/2021,ARKF,"DOCUSIGN INC",DOCU,256163106,392344.00,82525636.96,1.95
3/15/2021,ARKF,"FACEBOOK INC-CLASS A",FB,30303M102,302470.00,81182948.00,1.92
3/15/2021,ARKF,"WORKDAY INC-CLASS A",WDAY,98138H101,320651.00,81038127.23,1.92
3/15/2021,ARKF,"Z HOLDINGS CORP",4689,6084848,14140930.00,80492129.76,1.90
3/15/2021,ARKF,"APPLE INC",AAPL,037833100,661889.00,80108425.67,1.89
3/15/2021,ARKF,"TCS GROUP HOLDING-GDR REG S","TCS LI",87238U203,1319505.00,77850795.00,1.84
3/15/2021,ARKF,"INTUIT INC",INTU,461202103,195888.00,77561853.60,1.83
3/15/2021,ARKF,"AMAZON.COM INC",AMZN,023135106,24179.00,74700778.71,1.77
3/15/2021,ARKF,"JD.COM INC-ADR",JD,47215P106,796559.00,66926887.18,1.58
3/15/2021,ARKF,"TELADOC HEALTH INC",TDOC,87918A105,277698.00,54970319.10,1.30
3/15/2021,ARKF,"DISCOVERY LTD",DSY,6177878,5371188.00,53174491.61,1.26
3/15/2021,ARKF,"PING AN HEALTHCARE AND TECHN",1833,BDRYVB3,3954000.00,49381705.05,1.17
3/15/2021,ARKF,"KE HOLDINGS INC",BEKE,482497104,831904.00,49049059.84,1.16
3/15/2021,ARKF,"SCHWAB (CHARLES) CORP",SCHW,808513105,698339.00,47242633.35,1.12
3/15/2021,ARKF,"DRAFTKINGS INC - CL A",DKNG,26142R104,630532.00,45240671.00,1.07
3/15/2021,ARKF,"HDFC BANK LTD-ADR",HDB,40415F101,536033.00,43295385.41,1.02
3/15/2021,ARKF,"BASE INC",4477,BKRQ8Q2,447100.00,41752848.36,0.99
3/15/2021,ARKF,"GUIDEWIRE SOFTWARE INC",GWRE,40171V100,401069.00,42064116.72,0.99
3/15/2021,ARKF,"NVIDIA CORP",NVDA,67066G104,77650.00,39930736.00,0.94
3/15/2021,ARKF,"PINDUODUO INC-ADR",PDD,722304102,240230.00,38691443.80,0.92
3/15/2021,ARKF,"LENDINGTREE INC","TREE UW",52603B107,154879.00,36604102.86,0.87
3/15/2021,ARKF,"LENDINGCLUB CORP",LC,52603A208,1916620.00,28902629.60,0.68
3/15/2021,ARKF,"TAIWAN SEMICONDUCTOR-SP ADR",TSM,874039100,214951.00,25428703.30,0.60
3/15/2021,ARKF,"BILL.COM HOLDINGS INC",BILL,090043100,136827.00,21947050.80,0.52
3/15/2021,ARKF,"MARKETAXESS HOLDINGS INC",MKTX,57060D108,32532.00,16883132.04,0.40
3/15/2021,ARKF,"JSC KASPI.KZ GDR-REG S",KSPI,BMXZ8G7,148064.00,10468124.80,0.25
3/15/2021,ARKF,"MORGAN STANLEY GOVT INSTL 8035",,X9USDMORS,9649346.53,9649346.53,0.23
3/15/2021,ARKF,"SPLUNK INC",SPLK,848637104,23070.00,3135674.40,0.07
3/15/2021,ARKF,"VERISK ANALYTICS INC",VRSK,92345Y106,18027.00,3096317.52,0.07
3/15/2021,ARKF,"LIGHTSPEED POS INC-SUB VOTE",LSPD,BGHVW01,8824.00,609776.54,0.01
